pointName,pointType,pointID,distFromNodeBefore,distFromNodeAfter,Latitude,Longitude,triggerValue,Elevation_meters,Elevation_feet
FPU4,Node,1,0,464.022,32.756111,-104.23494,0,1100,3608.924
Pipeline,Bend,2,464.022,46.124029,32.757378,-104.23507,0,1103,3618.76652
Pipeline,Bend,3,46.124029,3201.4615,32.757504,-104.23509,0,1103,3618.76652
Pipeline,Bend,4,3201.4615,1121.0665,32.766219,-104.2363,0,1109,3638.45156
Pipeline,Bend,5,1121.0665,1002.092,32.769066,-104.23493,0,1109,3638.45156
Pipeline,Bend,6,1002.092,424.92672,32.771812,-104.23495,0,1099,3605.64316
Pipeline,Bend,7,424.92672,110.94707,32.772949,-104.23526,0,1098,3602.36232
Pipeline,Bend,8,110.94707,366.98306,32.773251,-104.23522,0,1098,3602.36232
Pipeline,Bend,9,366.98306,491.82971,32.774233,-104.23496,0,1098,3602.36232
Pipeline,Bend,10,491.82971,87.239485,32.775581,-104.23495,0,1100,3608.924
Pipeline,Bend,11,87.239485,9073.8718,32.77582,-104.23495,0,1100,3608.924
Pipeline,Bend,12,9073.8718,170.44986,32.800691,-104.2348,0,1099,3605.64316
Pipeline,Bend,13,170.44986,2552.75,32.801089,-104.23451,0,1099,3605.64316
Pipeline,Bend,14,2552.75,53.802364,32.808081,-104.23418,0,1088,3569.55392
FPU3,Node,15,53.802364,0,32.808228,-104.23418,0,1088,3569.55392
