created_at,entry_id,field3
2025-01-26 22:12:19 UTC,5300922,48
2025-01-26 22:13:19 UTC,5300923,48
2025-01-26 22:14:19 UTC,5300924,48
2025-01-26 22:15:19 UTC,5300925,48
2025-01-26 22:16:19 UTC,5300926,48
2025-01-26 22:17:19 UTC,5300927,48
2025-01-26 22:18:19 UTC,5300928,48
2025-01-26 22:19:19 UTC,5300929,48
2025-01-26 22:20:19 UTC,5300930,48
2025-01-26 22:21:19 UTC,5300931,48
2025-01-26 22:22:19 UTC,5300932,48
2025-01-26 22:23:19 UTC,5300933,48
2025-01-26 22:24:19 UTC,5300934,48
2025-01-26 22:25:19 UTC,5300935,49
2025-01-26 22:26:19 UTC,5300936,49
2025-01-26 22:27:19 UTC,5300937,49
2025-01-26 22:28:19 UTC,5300938,49
2025-01-26 22:29:19 UTC,5300939,50
2025-01-26 22:30:19 UTC,5300940,50
2025-01-26 22:31:19 UTC,5300941,49
2025-01-26 22:32:19 UTC,5300942,49
2025-01-26 22:33:19 UTC,5300943,49
2025-01-26 22:34:19 UTC,5300944,49
2025-01-26 22:35:19 UTC,5300945,50
2025-01-26 22:36:19 UTC,5300946,50
2025-01-26 22:37:19 UTC,5300947,49
2025-01-26 22:38:19 UTC,5300948,49
2025-01-26 22:39:19 UTC,5300949,50
2025-01-26 22:40:19 UTC,5300950,49
2025-01-26 22:41:19 UTC,5300951,49
2025-01-26 22:42:19 UTC,5300952,49
2025-01-26 22:43:19 UTC,5300953,49
2025-01-26 22:44:19 UTC,5300954,49
2025-01-26 22:45:19 UTC,5300955,49
2025-01-26 22:46:19 UTC,5300956,49
2025-01-26 22:47:19 UTC,5300957,49
2025-01-26 22:48:19 UTC,5300958,49
2025-01-26 22:49:19 UTC,5300959,49
2025-01-26 22:50:19 UTC,5300960,49
2025-01-26 22:51:19 UTC,5300961,49
2025-01-26 22:52:19 UTC,5300962,49
2025-01-26 22:53:19 UTC,5300963,49
2025-01-26 22:54:19 UTC,5300964,48
2025-01-26 22:55:19 UTC,5300965,48
2025-01-26 22:56:19 UTC,5300966,49
2025-01-26 22:57:19 UTC,5300967,49
2025-01-26 22:58:19 UTC,5300968,49
2025-01-26 22:59:19 UTC,5300969,49
2025-01-26 23:00:19 UTC,5300970,49
2025-01-26 23:01:19 UTC,5300971,49
2025-01-26 23:02:19 UTC,5300972,50
2025-01-26 23:03:19 UTC,5300973,50
2025-01-26 23:04:19 UTC,5300974,50
2025-01-26 23:05:19 UTC,5300975,50
2025-01-26 23:06:19 UTC,5300976,50
2025-01-26 23:07:19 UTC,5300977,50
2025-01-26 23:08:19 UTC,5300978,50
2025-01-26 23:09:19 UTC,5300979,50
2025-01-26 23:10:19 UTC,5300980,50
2025-01-26 23:11:19 UTC,5300981,50
2025-01-26 23:12:19 UTC,5300982,50
2025-01-26 23:13:19 UTC,5300983,50
2025-01-26 23:14:19 UTC,5300984,51
2025-01-26 23:15:19 UTC,5300985,51
2025-01-26 23:16:19 UTC,5300986,51
2025-01-26 23:17:19 UTC,5300987,51
2025-01-26 23:18:19 UTC,5300988,51
2025-01-26 23:19:19 UTC,5300989,52
2025-01-26 23:20:19 UTC,5300990,52
2025-01-26 23:21:19 UTC,5300991,52
2025-01-26 23:22:19 UTC,5300992,52
2025-01-26 23:23:19 UTC,5300993,53
2025-01-26 23:24:19 UTC,5300994,53
2025-01-26 23:25:19 UTC,5300995,53
2025-01-26 23:26:19 UTC,5300996,53
2025-01-26 23:27:19 UTC,5300997,53
2025-01-26 23:28:19 UTC,5300998,53
2025-01-26 23:29:19 UTC,5300999,53
2025-01-26 23:30:19 UTC,5301000,53
2025-01-26 23:31:19 UTC,5301001,53
2025-01-26 23:32:19 UTC,5301002,53
2025-01-26 23:33:19 UTC,5301003,53
2025-01-26 23:34:19 UTC,5301004,53
2025-01-26 23:35:19 UTC,5301005,53
2025-01-26 23:36:19 UTC,5301006,53
2025-01-26 23:37:19 UTC,5301007,53
2025-01-26 23:38:19 UTC,5301008,53
2025-01-26 23:39:19 UTC,5301009,53
2025-01-26 23:40:19 UTC,5301010,53
2025-01-26 23:41:19 UTC,5301011,53
2025-01-26 23:42:19 UTC,5301012,54
2025-01-26 23:43:19 UTC,5301013,54
2025-01-26 23:44:19 UTC,5301014,54
2025-01-26 23:45:19 UTC,5301015,54
2025-01-26 23:46:19 UTC,5301016,54
2025-01-26 23:47:19 UTC,5301017,54
2025-01-26 23:48:19 UTC,5301018,54
2025-01-26 23:49:19 UTC,5301019,54
2025-01-26 23:50:19 UTC,5301020,54
2025-01-26 23:51:19 UTC,5301021,54
